time;res_p;res_rho;res_vx;res_vy;res_vz;elapsed_time
0;8.62613e-12;6.45506e-22;1.63323e-12;1.02953e-12;0;0.064004
0.0001;8.67651e-11;6.49276e-21;6.31283e-12;4.16087e-12;0;0.041871
0.0002;4.14511e-10;3.10185e-20;1.37523e-11;9.57379e-12;0;0.041009
0.0003;1.35595e-09;1.01468e-19;2.37394e-11;1.77499e-11;0;0.044668
0.0004;3.47969e-09;2.6039e-19;3.61017e-11;2.67907e-11;0;0.042853
0.0005;7.50444e-09;5.61568e-19;5.44577e-11;3.80154e-11;0;0.044397
0.0006;1.49105e-08;1.11577e-18;7.05458e-11;5.12704e-11;0;0.040438
0.0007;2.66579e-08;1.99485e-18;9.49288e-11;6.80974e-11;0;0.037545
0.0008;4.53009e-08;3.38993e-18;1.17298e-10;8.54987e-11;0;0.041466
0.0009;7.1759e-08;5.36983e-18;1.38582e-10;1.05853e-10;0;0.043396
0.001;1.05745e-07;7.91306e-18;1.61902e-10;1.26991e-10;0;0.040496
0.0011;1.47002e-07;1.10004e-17;1.87129e-10;1.49932e-10;0;0.040833
0.0012;1.9501e-07;1.45929e-17;2.14409e-10;1.77027e-10;0;0.040968
0.0013;2.53364e-07;1.89596e-17;2.43791e-10;2.05117e-10;0;0.044879
0.0014;3.23283e-07;2.41918e-17;2.79309e-10;2.34178e-10;0;0.042802
0.0015;4.02571e-07;3.0125e-17;3.11441e-10;2.68715e-10;0;0.039965
0.0016;4.94308e-07;3.69898e-17;3.46175e-10;3.01053e-10;0;0.044645
0.0017;6.01152e-07;4.49851e-17;3.82807e-10;3.36538e-10;0;0.03873
0.0018;7.23995e-07;5.41776e-17;4.2318e-10;3.75253e-10;0;0.044388
0.0019;8.58329e-07;6.423e-17;4.67425e-10;4.13541e-10;0;0.042526
0.002;1.02062e-06;7.63744e-17;5.08946e-10;4.53799e-10;0;0.043403
0.0021;1.20616e-06;9.02589e-17;5.53183e-10;4.96602e-10;0;0.042723
0.0022;1.41735e-06;1.06062e-16;6.00685e-10;5.41303e-10;0;0.043184
0.0023;1.65466e-06;1.23821e-16;6.48623e-10;5.89652e-10;0;0.038128
0.0024;1.92235e-06;1.43853e-16;6.99114e-10;6.40271e-10;0;0.043525
0.0025;2.21805e-06;1.6598e-16;7.57402e-10;6.94709e-10;0;0.033244
0.0026;2.54546e-06;1.9048e-16;8.16277e-10;7.52231e-10;0;0.0428
0.0027;2.92073e-06;2.18562e-16;8.69784e-10;8.05974e-10;0;0.042393
0.0028;3.34214e-06;2.50097e-16;9.28145e-10;8.60909e-10;0;0.040556
0.0029;3.79733e-06;2.8416e-16;1.00127e-09;9.17593e-10;0;0.037985
0.003;4.30803e-06;3.22376e-16;1.06244e-09;9.8346e-10;0;0.044605
0.0031;4.87275e-06;3.64635e-16;1.12252e-09;1.04566e-09;0;0.040699
0.0032;5.48952e-06;4.10789e-16;1.18494e-09;1.10745e-09;0;0.04173
0.0033;6.15951e-06;4.60925e-16;1.25128e-09;1.172e-09;0;0.043831
0.0034;6.875e-06;5.14467e-16;1.32345e-09;1.24259e-09;0;0.039378
0.0035;7.65141e-06;5.72566e-16;1.39171e-09;1.31044e-09;0;0.037137
0.0036;8.4966e-06;6.35813e-16;1.46312e-09;1.38276e-09;0;0.042922
0.0037;9.40852e-06;7.04053e-16;1.5357e-09;1.45824e-09;0;0.040957
0.0038;1.03888e-05;7.77413e-16;1.61059e-09;1.53564e-09;0;0.04447
0.0039;1.1431e-05;8.554e-16;1.68794e-09;1.60966e-09;0;0.044929
